Assignment_ID,Assignment_Name,Assignment_Link,Remote_Testing_Support,Adaptive_IRT_Support,Test_Type,Approximate_Completion_Time,Job_Levels
45,Graduate + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment/,True,False,"A, B, P",30.0,"Graduate,"
46,Graduate 7.1 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-7-1-job-focused-assessment/,True,False,"B, C",19.0,"Graduate,"
47,Graduate 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,True,False,"P, B",20.0,"Graduate,"
48,Guest Service Team 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/guest-service-team-7-0-solution/,True,False,B,18.0,"Entry-Level,"
49,Guest Services Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/guest-services-associate-solution/,True,True,"A, B, P, S",48.0,"Entry-Level,"
50,Healthcare Aide 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-aide-7-0-solution/,True,False,B,22.0,"Entry-Level,"
51,Healthcare Call Center Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-call-center-agent-solution/,True,True,"A, B, P, S",44.0,"Entry-Level,"
52,Healthcare Service Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-service-associate-solution/,True,True,"A, B, P",37.0,"Entry-Level,"
53,Healthcare Support Specialist Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-support-specialist-solution/,True,True,"A, B, P",30.0,"Entry-Level,"
54,Home Health Aide Solution,https://www.shl.com/solutions/products/product-catalog/view/home-health-aide-solution/,True,True,"A, B, P",41.0,"Entry-Level,"
55,Hospitality Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/hospitality-manager-solution/,True,True,"A, B, K, P",57.0,"Front Line Manager, Manager, Supervisor,"
56,Host Solution,https://www.shl.com/solutions/products/product-catalog/view/host-solution/,True,True,"B, P",30.0,"Entry-Level,"
57,Industrial - Entry Level 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-0-solution/,True,False,B,20.0,"Entry-Level,"
58,Industrial - Entry Level 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28americas%29/,True,False,B,20.0,"Entry-Level,"
59,Industrial - Entry Level 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28international%29/,True,False,B,20.0,"Entry-Level,"
60,Industrial - Professional and Skilled 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-0-solution/,True,True,"A, B",49.0,"Entry-Level,"
61,Industrial - Semi-skilled 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28americas%29/,True,False,B,24.0,"Entry-Level,"
62,Industrial - Semi-skilled 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28international%29/,True,False,B,24.0,"Entry-Level,"
63,Industrial Professional and Skilled 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/,True,False,"A, B",49.0,"Entry-Level,"
64,Industrial Professional and Skilled 7.1 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-solution/,True,False,"A, B",49.0,"Entry-Level,"
65,Installation and Repair Technician Solution,https://www.shl.com/solutions/products/product-catalog/view/installation-and-repair-technician-solution/,True,True,"A, B, P, S",49.0,"Professional Individual Contributor,"
66,Insurance Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-account-manager-solution/,True,True,"A, B, P, S",48.0,"Mid-Professional,"
67,Insurance Administrative Assistant Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-administrative-assistant-solution/,True,True,"A, B, P, S",24.0,"Entry-Level,"
68,Insurance Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-agent-solution/,True,True,"A, B, P",46.0,"Mid-Professional,"
69,Insurance Director Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-director-solution/,True,True,"A, B, P",49.0,"Director, Front Line Manager, Manager, Supervisor,"
70,Insurance Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-sales-manager-solution/,True,True,"A, B, P, S",51.0,"Front Line Manager, Manager, Supervisor,"
71,Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/manager-short-form/,True,True,"A, B, K, P, S",57.0,"Front Line Manager, Manager, Supervisor,"
72,Manager + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution-3955/,True,True,"A, B, C",53.0,"Front Line Manager, Manager,"
73,Manager + 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution-4242/,True,True,"B, C, P",63.0,"Director, Executive, Front Line Manager, Manager,"
74,Manager + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28international%29/,True,True,"B, C, P",63.0,"Director, Executive, Front Line Manager, Manager,"
75,Manager 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution/,True,False,"B, C",35.0,"Manager, Front Line Manager,"
76,Manager 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28americas%29/,True,False,"B, C, P",40.0,"Executive, Director, Front Line Manager, Manager,"
77,Manager 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution/,True,False,"B, C, P",40.0,"Director, Executive, Front Line Manager, Manager,"
78,Manager 8.0 JFA,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa/,True,False,"B, K, P",26.0,"Manager,"
79,Manager 8.0+ JFA,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/,True,False,"B, K, P",44.0,"Manager,"
80,Manufacturing Production Team Member,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-production-team-member/,True,False,"A, B",35.0,"Entry-Level,"
81,Manufacturing Skilled Maintenance Worker,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-skilled-maintenance-worker/,True,False,"A, B",45.0,"Entry-Level,"
82,Network Engineer/Analyst Solution,https://www.shl.com/solutions/products/product-catalog/view/network-engineeranalyst-solution/,True,True,"P, S, K, B, A",41.0,"Professional Individual Contributor,"
83,Nurse Leader Solution,https://www.shl.com/solutions/products/product-catalog/view/nurse-leader-solution/,True,True,"S, A, B, P",59.0,"Front Line Manager, Manager, Supervisor,"
84,Nurse Solution,https://www.shl.com/solutions/products/product-catalog/view/nurse-solution/,True,True,"P, A, B",66.0,"Professional Individual Contributor,"
85,Nursing Assistant Solution,https://www.shl.com/solutions/products/product-catalog/view/nursing-assistant-solution/,True,False,"A, B, P",41.0,"Entry-Level,"
86,Personal Banker - Short Form,https://www.shl.com/solutions/products/product-catalog/view/personal-banker-short-form/,True,False,"A, B, K, P, S",30.0,"Entry-Level, Mid-Professional,"
87,Phone Banker - Short Form,https://www.shl.com/solutions/products/product-catalog/view/phone-banker-short-form/,True,False,"A, B, P",40.0,"Entry-Level, Mid-Professional,"
88,Prep/Line Cook Solution,https://www.shl.com/solutions/products/product-catalog/view/prepline-cook-solution/,True,True,"A, B, P",24.0,"Entry-Level,"
89,Professional + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/,True,True,"A, B, C",51.0,"Mid-Professional, Professional Individual Contributor,"
90,Professional + 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-%28americas%29/,True,True,"B, C, P",56.0,"General Population, Mid-Professional, Professional Individual Contributor,"
91,Professional + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/,True,True,"B, C, P",56.0,"General Population, Mid-Professional, Professional Individual Contributor,"
92,Professional 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution/,True,False,"B, C",33.0,"Mid-Professional, Professional Individual Contributor,"
93,Professional 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution-4247/,True,False,"C, B",33.0,"Professional Individual Contributor, Mid-Professional,"
94,Professional 8.0 JFA,https://www.shl.com/solutions/products/product-catalog/view/professional-8-0-jfa/,True,False,"B, K, P",16.0,"Professional Individual Contributor,"
95,Professional/Individual Contributor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/professionalindividual-contributor-short-form/,True,True,"A, B, P, S",44.0,"Mid-Professional, Professional Individual Contributor,"
96,Project Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/project-manager-short-form/,True,True,"A, B, P, S",49.0,"Professional Individual Contributor,"
97,Proof Operator - Processing Specialist -Short Form,https://www.shl.com/solutions/products/product-catalog/view/proof-operator-processing-specialist-short-form/,True,False,S,30.0,"Entry-Level,"
98,Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/reservation-agent-solution/,True,True,"A, P, S, B",43.0,"Entry-Level,"
99,Restaurant Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/restaurant-manager-solution/,True,True,"A, B, P, S",48.0,"Front Line Manager, Manager, Supervisor,"
100,Restaurant Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/restaurant-supervisor-solution/,True,True,"A, B, P",53.0,"Front Line Manager, Manager, Supervisor,"
101,Retail Consultant Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-consultant-solution/,True,True,"A, B, P",45.0,"Entry-Level,"
102,Retail Manager w/ Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-manager-w-sales-solution/,True,True,"A, B, P",43.0,"Front Line Manager, Manager, Supervisor,"
103,Retail Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-sales-associate-solution/,True,True,"A, B, P",29.0,"Entry-Level,"
104,Sales Director Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-director-solution/,True,True,"A, B, P",59.0,"Director, Front Line Manager, Manager,"
105,Sales Engineer Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-engineer-solution/,True,True,"A, B, K, P, S",61.0,"Professional Individual Contributor,"
106,Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-manager-solution/,True,True,"A, B, P",63.0,"Front Line Manager, Manager,"
107,Sales Professional 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-0-solution/,True,False,"C, B",21.0,"Mid-Professional, Professional Individual Contributor,"
108,Sales Professional 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-1-%28americas%29/,True,False,"B, C",21.0,"Professional Individual Contributor, Mid-Professional,"
109,Sales Professional Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-solution/,True,True,"A, B, P",47.0,"Mid-Professional,"
110,Sales Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/,True,True,"A, B, P",29.0,"Entry-Level,"
111,Sales Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-supervisor-solution/,True,True,"A, B, P",38.0,"Front Line Manager, Manager, Supervisor,"
112,Sales Support Specialist Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-support-specialist-solution/,True,True,"A, B, P",43.0,"Entry-Level,"
113,Senior Insurance Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/senior-insurance-agent-solution/,True,False,"A, B, P",44.0,"Professional Individual Contributor,"
114,Senior Sales Professional Solution,https://www.shl.com/solutions/products/product-catalog/view/senior-sales-professional-solution/,True,True,"A, B, P",42.0,"Professional Individual Contributor,"
115,Server Solution,https://www.shl.com/solutions/products/product-catalog/view/server-solution/,True,True,"B, A, P",40.0,"Entry-Level,"
116,Service Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/service-associate-solution/,True,True,"A, B, P",38.0,"Entry-Level,"
117,Service Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/service-supervisor-solution/,True,True,"A, B, P",48.0,"Front Line Manager, Manager, Supervisor,"
118,Stock Clerk Solution,https://www.shl.com/solutions/products/product-catalog/view/stock-clerk-solution/,True,False,"A, B, P",25.0,"Entry-Level,"
119,Store Manager 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-0-solution/,True,False,"B, C",34.0,"Front Line Manager, Manager,"
120,Store Manager 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28americas%29/,True,False,"B, C",34.0,"Front Line Manager, Manager,"
121,Store Manager 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28international%29/,True,False,"C, B",34.0,"Front Line Manager, Manager,"
122,Store Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/store-manager-solution/,True,True,"A, B, P",49.0,"Manager, Supervisor,"
123,Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/supervisor-short-form/,True,True,S,57.0,"Front Line Manager, Manager, Supervisor,"
124,Supervisor 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-0-solution/,True,False,"B, C",32.0,"Supervisor,"
125,Supervisor 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-1-%28americas%29/,True,False,"B, C, P",29.0,"Front Line Manager, Supervisor,"
126,Supervisor 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-1-%28international%29/,True,False,"P, C, B",29.0,"Supervisor, Front Line Manager,"
127,Support Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/support-associate-solution/,True,True,"A, B, P",38.0,"Entry-Level,"
128,Support Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/support-supervisor-solution/,True,True,"A, P, S, B",39.0,"Front Line Manager, Manager, Supervisor,"
129,Technical Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/,True,False,"A, B, P",41.0,"Entry-Level,"
130,Technician/Technologist Solution,https://www.shl.com/solutions/products/product-catalog/view/techniciantechnologist-solution/,True,True,"A, B, P",52.0,"Mid-Professional,"
131,Technology Professional 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/technology-professional-8-0-job-focused-assessment/,True,False,"C, P",16.0,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
132,Telenurse Solution,https://www.shl.com/solutions/products/product-catalog/view/telenurse-solution/,True,True,"A, B, P",68.0,"Mid-Professional,"
133,Teller 7.0,https://www.shl.com/solutions/products/product-catalog/view/teller-7-0/,True,True,"B, K, P, S",35.0,"Entry-Level,"
134,Teller with Sales - Short Form,https://www.shl.com/solutions/products/product-catalog/view/teller-with-sales-short-form/,True,False,"A, B, K, P, S",35.0,"Entry-Level,"
135,Transcriptionist Solution,https://www.shl.com/solutions/products/product-catalog/view/transcriptionist-solution/,True,True,"A, B, K, P",33.0,"Entry-Level,"
136,Workplace Safety - Individual 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-individual-7-0-solution/,True,False,B,16.0,"Entry-Level,"
137,Workplace Safety - Individual 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-individual-7-1-solution/,True,False,B,16.0,"Entry-Level,"
138,Workplace Safety - Team 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-0-solution/,True,False,B,20.0,"Director,"
139,Workplace Safety - Team 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-1-%28americas%29/,True,False,"B, C, P",20.0,"Entry-Level, General Population, Professional Individual Contributor,"
140,Workplace Safety - Team 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-1-solution/,True,False,"B, C, P",20.0,"Entry-Level, General Population, Professional Individual Contributor,"
141,Workplace Safety Solution,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-solution/,True,True,"B, P",21.0,"Entry-Level,"
1,Global Skills Development Report,https://www.shl.com/solutions/products/product-catalog/view/global-skills-development-report/,True,False,"A, E, B, C, D, P",,"Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor,"
2,.NET Framework 4.5,https://www.shl.com/solutions/products/product-catalog/view/net-framework-4-5/,True,True,K,30.0,"Professional Individual Contributor, Mid-Professional,"
3,.NET MVC (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvc-new/,True,False,K,17.0,"Mid-Professional, Professional Individual Contributor,"
4,.NET MVVM (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvvm-new/,True,False,K,5.0,"Mid-Professional, Professional Individual Contributor,"
5,.NET WCF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wcf-new/,True,False,K,11.0,"Mid-Professional, Professional Individual Contributor,"
6,.NET WPF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wpf-new/,True,False,K,9.0,"Mid-Professional, Professional Individual Contributor,"
7,.NET XAML (New),https://www.shl.com/solutions/products/product-catalog/view/net-xaml-new/,True,False,K,5.0,"Mid-Professional, Professional Individual Contributor,"
8,Accounts Payable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-new/,True,False,K,9.0,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
9,Accounts Payable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-simulation-new/,True,False,S,8.0,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
10,Accounts Receivable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-new/,True,False,K,13.0,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
11,Accounts Receivable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,True,False,S,8.0,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
12,ADO.NET (New),https://www.shl.com/solutions/products/product-catalog/view/ado-net-new/,True,False,K,10.0,"Mid-Professional, Professional Individual Contributor,"
13,Adobe Experience Manager (New),https://www.shl.com/solutions/products/product-catalog/view/adobe-experience-manager-new/,True,False,K,17.0,"Mid-Professional, Professional Individual Contributor,"
14,Adobe Photoshop CC,https://www.shl.com/solutions/products/product-catalog/view/adobe-photoshop-cc/,True,True,K,20.0,"Mid-Professional, Professional Individual Contributor,"
15,Aeronautical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aeronautical-engineering-new/,True,False,K,10.0,"Graduate, Mid-Professional, Professional Individual Contributor,"
16,Aerospace Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aerospace-engineering-new/,True,False,K,10.0,"Graduate, Mid-Professional, Professional Individual Contributor,"
17,Agile Software Development,https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/,True,False,K,7.0,"Graduate,"
18,Agile Testing (New),https://www.shl.com/solutions/products/product-catalog/view/agile-testing-new/,True,False,K,13.0,"Mid-Professional, Professional Individual Contributor,"
19,AI Skills,https://www.shl.com/solutions/products/product-catalog/view/ai-skills/,True,False,P,16.0,"General Population,"
20,Amazon Web Services (AWS) Development (New),https://www.shl.com/solutions/products/product-catalog/view/amazon-web-services-aws-development-new/,True,False,K,6.0,"Mid-Professional, Professional Individual Contributor,"
21,Android Development (New),https://www.shl.com/solutions/products/product-catalog/view/android-development-new/,True,False,K,7.0,"Mid-Professional, Professional Individual Contributor,"
22,Angular 6 (New),https://www.shl.com/solutions/products/product-catalog/view/angular-6-new/,True,False,K,11.0,"Mid-Professional, Professional Individual Contributor,"
23,AngularJS (New),https://www.shl.com/solutions/products/product-catalog/view/angularjs-new/,True,False,K,9.0,"Mid-Professional, Professional Individual Contributor,"
24,Apache Hadoop (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-new/,True,False,K,7.0,"Mid-Professional, Professional Individual Contributor,"
25,Apache Hadoop Extensions (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-extensions-new/,True,False,K,9.0,"Mid-Professional, Professional Individual Contributor,"
26,Apache HBase (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hbase-new/,True,False,K,5.0,"Mid-Professional, Professional Individual Contributor,"
27,Apache Hive (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hive-new/,True,False,K,5.0,"Mid-Professional, Professional Individual Contributor,"
